id,sentence,domain
434,"It is night, A rat or other similarly sized vermin moves through the room, The system should continue fading off the lights and not reactivate",entertainment
435,"Night time during a storm, A lightning strike and accompanying thunder, The system should not reactivate the lights and remain off during inclement weather",entertainment
436,"night time, A man walks into the room, the lights should come on slowly as not to blind him",safety
437,"night time, the house is occupied, A person approaches the house, exterior but not interior lights should turn on",safety
438,"night time, the house is occupied, A stray cat, raccoon or similarly sized animal approaches the house, The owner of the system should have control over whether a stimuli of this size will trigger exterior lights turning on.",safety
439,"it is night, the house is completely dark, an occupant needs to go to the bathroom, dim lights should fade slowly in in hallways and the bathroom",energy
440,"night time, user is engaged in pre-sleep rituals (teeth brushing, snacking, reading etc.), The user is getting ready for bed, House should start turning off extraneous lights and dimming lights in bedroom",energy
441,"Daytime, enough ambient light to see, A person walks into a room during the day, The house shouldn't turn on the lights unless prompted",energy
442,"The person walks into the room and does not leave / remains for more than 5 seconds. They do not touch the light switch., A person walks into a dark / non-lit room., The lights in the room should come on.",energy
443,"The movement should activate the application., A person walks up to my home and stands in my yard., The outside light comes on to illuminate the area where movement is detected.",health
444,"Based on recognizing that the TV is on, the application should be triggered., I turn on a TV show in my living room, The lights in the living room dim.",entertainment
445,"Based on preconfiguration, turning on the fireplace should activate a lighting level change., I turn on the fireplace in the living room for a cozy atmosphere., The lighting will dim in response to the fireplace activation.",energy
446,"The home will recognize that it is dark outside and that there is movement in the kitchen., I enter the kitchen to cook dinner. It is dark outside., The kitchen light will come on, and be set to bright, since there is no natural light outside at this time.",energy
447,"The movement of entering the room activates the smart device., I enter a dark bedroom., The lights come on immediately so that I can see where I am walking.",energy
448,"Since the smart home is programmed to light rooms upon movement, the application is triggered by the movement of the pet., A pet enters a dark bedroom., The lights come on in the room. This isn't a person activating the light, so it may be unnecessary. However, if you program for height you would not include small children in the rule.",safety
449,"The movement activates the device., A dog walks onto my property and is sniffing the bushes., Lights come on at the area of movement, so that I can see who or what is outside. The dog gets scared when the lights come on and runs off.",safety
452,"The lights in the den are on., Judith walks from the den to the kitchen and doesn't return to the den within 5 minutes., The lights in the den will fade after 5 minutes of no activity in the room.",energy
453,"The bathroom is dark, but the lights will turn on when movement is detected. , William enters the bathroom at 2:30 am., The bathroom light turns on when William enters.",energy
454,"The smart system detects movement outside of the house., A group of teenagers approach a house with the intention of rolling it., The outside lights come on, and the teenagers run away.",safety
455,"Simone goes to the den to watch Olympic gymnastics on TV, Michael goes outside to take a swim, and Rio goes to take a shower., A family has finished dinner and goes to various parts of the house., The lights in the den dim when Simone turns on the TV; the patio lights come on when Michael approaches the pool, and the pool lights come on when he stands at the edge; the bathroom lights come on when Rio enters, and the shower turns on to the correct temperature when Rio touches the knob.",energy
456,"The lights in her house automatically fade with no movement in the house. , Sarah decided to spend the night at her friend's house and did not come home. , The lights turn off. ",safety
457,"Save Energy, If there is no movement or noise., Fade off the lights",energy
458,"The person is testing the system, A person periodically walks in and out of the room, The lights themselves eventually adapt a pattern of turning on and off to estimate and counter the person moving in and out of the room.",safety
459,"The pets serve as a more randomized test for the system, A series of pets constantly walk around the room, The room itself eventually adapts, creating a middle ground of lighting for as long as a majority of the pets are currently the room.",health
460,"His kitchen lights in his smart home turn on the lights automatically when he enters a room in his house. , Tom decides to get a drink of water in his kitchen., The lights turn on when he enters the kitchen. ",energy
461,"They realized that they needed to be somewhere else, A person walks into the dark room, before immediately walking out of the room, The lights immediately turn on, but then turn off again, after a few seconds of not registering motion.",energy
462,"The house is programmed to turn on the lights when someone enters the room. It can sense who is in the room based off of their cell phone GPS and adjust lights accordingly to preference. The lights , Tom's dog runs into the kitchen by himself. , The lights do not turn on since it senses that ",energy
463,"The person is leaning in to check what room they're looking at., A person partially moves into a dark room from the door., The system slowly turns the lights on, dimming the room in order to help the user view the room briefly and quickly before turning off again.",energy
464,"The thief is testing the waters, scoping the house for any potential security measures., An intruder moves around the house, just out of range, but periodically dips in closer to the house's sensors, The house begins rapidly blinking on and off in an erratic manner to deter the intruder and make them second guess themselves.",safety
465,"All lights in the house are still on, The front door has been locked for five minutes, The house turns off all but the front room lights to save energy but maintain security",energy
466,"The stairwell is dark and hard to see, George opens the door to a basement stairwell, By opening the door, the lights come on and give George a path",safety
467,"The system will make use of many different sensors, with long range capabilities., A smart home lighting system will be able to sense any sort of danger in a large radius., Lights automatically turn on when sensing movement within a 10 mile radius",safety
468,"The intruder is on a time table, and needs to find a way inside of the house quickly, The intruder quickly runs around the house, at a very fast rate trying to find a way inside, The house brightly shines in a periodic manner, not quickly but in a sustained and rhythmic manner.",safety
469,"Sensors will be able to detect when there is no one in the area., The lighting system will detect when a room is not occupied, and will shut off all lights in that room., The lights will shut of automatically, saving a lot of energy.",energy
470,"The person is trying to read a paper carefully, A person is shining a lamp light over the couch as they read with the light on, The room periodically changes it's lighting, allowing the person's eyes a chance to adjust to new settings and readjust back to the paper at hand.",energy
471,"The robber does not have a key fob to show his as authorized, A robber approaches the front door after 2AM, A verbal warning is sounded and the lights flash in a strobe pattern",safety
472,"A wide variety of sensors will be used to detect movements., A system will detect when one is approaching the perimeter., The house will light up the area, to help the person see their way around.",safety
473,"Sensors will detect low sources of light, and will increase them., A lighting system will take the area into note, and help increase visibility., Users will be able to see what they are looking at easier.",health
474,"The lights are off in each bedroom/bathroom, A family is getting ready for bed, Mom's bathroom lights are bright as she takes off her makeup, the lights are pitch back in son's room because he likes it dark, daughter's room has dim floor lighting to act as a night light",energy
475,"There is no movement for 5 minutes, No movement, The lights turn off ",energy
476,"The cars pull into your driveway at night , A car pulls up to your house, The lights outside turn on ",safety
477,"The person needs the brightness to focus on their activities., A person is sitting at their computer with an extremely bright screen., The room brightens the lights slowly, in an attempt to focus on ease the person's sight to contrast against an already bright screen.",entertainment
478,"Convenience and Safety, If person walks in dark room, Turn on lights",energy
479,"No movement for 5 minutes, I walk into a room and the light turns on , As I am studying I am focused on the material reading and lights go off",energy
480,"The person wants to have some water from the kitchen late in midnight and doesn't want the lights to be lit on a full strength rather he prefers a dim light., The person walks into the dark room late in midnight., The sensors will take note of the time, and if it's late, the strength/brightness of the lights would be low.",energy
481,"the motion sensor senses when a person walks into the doorway, I walk into a room and the light turns on, I am rushing into the room and I trip over a bed post because the lights didn't turn on in time.",energy
482,"The correct amount of time has passed with no movement., I leave the room and do not re-enter, The lights turn off.",energy
483,"The sensors should turn on the lights automatically to scare off the intruders but after a while it should automatically turn off in order to save energy., If the movement is done by an animal, The light would go off after a while(3-5 minutes). And again light up if there is another movement.",energy
485,"I leave the room but leave my Oscilating fan on., Fans and other normalized movement in the room should not prohibit the lights from turning off, The lights turn off recognizing this fan is not a user.",energy
486,"The pets are a test to compare the system's versatility, A series of pets scamper into a dark room and move around frantically before leaving, The room itself lightly dims itself, as the pets aren't as tall or movement oriented as a human",safety
487,"When a person walks on the homes property the light will turn on, A person walks up to the side of the house about 15 feet away, The smart home can detect people instead of animals no animals can trigger it.",safety
488,"The person wants to test the detection systems regarding audio and not movement., A person already in the room briefly speaks while remaining absolutely still., This system registers the speech, turning the lights on until roughly 2-3 minutes after the last word has been said by the person in the room.",energy
489,"There can be a situation where a person fell in sleep while watching television, so in that case the sensors should also neglect the noise and just consider movement for that., When there is no movement but noise is there., The lights would fade off if there is no movement even if there is noise in the room",health
490,"Since the T.V. Is turned on and the motion sensors sense movement., I walk into the room and turn the T.V. on, The sensors detect there is less movement while the T.V. is on and will dim after a certain period. Vice versa for when I get up.",energy
491,"I have not moved, yet the sensor should detect that someone is still occupying the room., I sit still as I watch tv., Lights should stay on",energy
492,"The smart home will change the light color and brightness based on the activity in the room. They are all in different rooms doing different activities. , A family of four gets home and starts using different electronics. , The mother and father go to bed early and the lights in the bedroom turn off when the alarm clock is set and the nighttime sound machine is activated. The sister watches TV and the lights dim automatically. The brother decides to make some food in the kitchen and the lights brighten when he opens the refrigerator so he can see what he's cooking. ",entertainment
494,"The sensors should detect that I am moving towards the room, I walk into a dark room, The lights should come on right before or immediately after I enter the room.",energy
495,"I am wearing dark clothes as an intruder would but the lights should still come on., I approach the house, The lights should come on immediately.",energy
498,"The potential intruder is testing the systems while still remaining hidden, A person begins slowly moving in bushes close to the house, The house turns on lights directly on the direction of the potential intruder's bush hiding place.",safety
499,"the sensor should detect that I am watching a movie, I turn on a movie on the TV, the lights should automatically dim",entertainment
500,"user experience, brightness and color, dim lighting for watching TV",entertainment
502,"The person wishes to fall asleep reading in their bedroom., A person is reading in their bed, The room's lights notice a lack of turned on electronics and slowly dim, helping the occupant fall asleep.",health
503,"The lights are programmed to turn on when it senses movement. After three incorrect passwords, the doorknob is programmed to call the police and trigger the alarm. , The owner's cousin stops by late in the evening after being invited. , The owner gave his cousin the password so he was able to successfully enter the house. ",safety
504,"noise in a room, If there is no movement,  automatically fade",health
505," lights in that room, smart home, convenience and safety",safety
507,"dark outside,  movement outside,  lights",safety
510,"The leaves and branches are moving because of the wind blowing at night and the lights should come on even though there is no intruder., The wind is blowing and causes the trees next to my house to move., The lights should automatically turn on because movement was detected outside.",safety
511,"Sleeping movements should not turn on the lights but should something move abruptley through the threshold or withing the room it should turn on the lights, A walking movement should turn on the lights., The lights turn on if any one enters or moves around the room.",energy
512,"In today?s article we will talk about definitions of Test Case and Test Scenarios and we will see the basic differences between Test Cases vs Test Scenarios., Software testing field is very much interesting field to work on, however sometimes many testers were get confused in common software terminologies, In today?s article we will talk about definitions of Test Case and Test Scenarios and we will see the basic differences between Test Cases vs Test Scenarios.",safety
513,"The sensors should detect that I am eating at the dining room table and provide me with bright enough light to see my food., I sit down in the dining room to eat dinner., The lights are bright to see the food I am eating.",health
514,"I put something on a shelf such that it wasn't placed all of the way on the shelf and was balancing when I left the room.  The object falls from the shelf causing movement and noise., Something falls off a shelf., The lights don't turn on because there was no human movement.",safety
518,"If there is motion within a preset range of the home, Motion is detected after dark., turn on exterior lights at that location",safety
519,"If motion detector detects motion within acceptable range within interior rooms of the home, Motion detector detects motion in dark room, Smart house should activate lighting in the room the motion detector is installed in.",safety
520,"After 5 minutes of no motion or sound being detected, I leave the living room and go to the bedroom., Room lights should turn off",energy
521,"If no motion is detected within the room during the prescribed time period, No motion within a given room for 20 minutes, Automatically fade lights to off"" setting""",safety
522,"My motion is detected, I walk into the living room, at night, Lights are faded on",safety
523,"less activity detected and less sound, Motion and sound identifiers detect level of room activity, Dim lights",energy
524,"My motorbike is authorized; it is night time, I drive my motorbike towards the garage door, Garage door should open.",safety
525,"My motorbike is authorized; it is time, I drive my motorbike towards the garage door, Garage door should open.",safety
526,"I fell asleep on the couch while reading a book., There is no movement during the set period of time., The lights should fade off. ",energy
527,"If noise volume reaches a pre-specified level while TV is active , Audio sensor detects increased background noise during television show, Raise television volume incrementally until it matches background audio level",entertainment
528,"I walk in and the kitchen is dark, my hands are full with groceries., I get home from the grocery store and walk into the kitchen., The lights turn on from detecting my motion into the room.",energy
529,"My friend's car is not authorized. His car is same make, model, and color as my authorized car. It is day time.
, My friend drives his car towards my garage door.
, Garage door should open.",safety
530,"Object is determined not to be an animal., A medium sized object moves to my porch., Turn on foyer lights.",safety
531,"If the motion is detected above three feet in height but below seven feet, Movement detected on exterior of home, activate motorized tracking light to follow intrusion",energy
532,"My car is authorized.
Garage door should not close as long as If there is movement outside home when it is dark outside, the smart home should automatically turn on some lights, so that potential intruders are scared off.
, Once the garage door is open, I drive my car into the garage, but stop it before completely entering the garage.If there is movement outside home when it is dark outside, the smart home should automatically turn on some lights, so that potential intruders are scared off.

, my car is not completely inside.If there is movement outside home when it is dark outside, the smart home should automatically turn on some lights, so that potential intruders are scared off.
",safety
533,"If there is no movement in a given room above a certain height, No movement in room above 2 feet in height for extended period of time (20 minutes), The system should automatically fade the lights to the off"" position""",energy
534,"It is dark outside and a deer walks into the yard., A deer walks into the yard., The lights turn on scaring the deer away.",safety
535,"when they describes the condition in which the stimulus occurs.
, in this describes how you initiate the application to react in some way.
, can we describes what you expect the application to do in response to the stimulus.",entertainment
536,"It is daytime, TV is turned on., Close curtains and dim lights to 20%",entertainment
537,"If I walk into the bedroom the lights will activate, but not if my dog does., Motion is detected above preset height of 2 feet, If motion detected above 2 feet activate lights, if below 2 feet do nothing.",energy
538,"Kids are playing a game in the room, but then leave to go outside., Kids leave the room, After there is no motion or sound, the lights turn off. ",energy
539,"It is night time., The TV is turned on, Dim lights to 5%, turn on perimeter night lights",entertainment
540,"He is in a room with smart lights and is making noise., My friend is walking around the room., The lights should stay on.",energy
541,"Dog walks into the kitchen, Motion detected in kitchen below 2 feet in height, system assumes it is a pet, System adjusts lighting from off"" position to 20% lighting for animal's convenience.""",safety
542,"I am making no noise or sudden movements., I am standing still in the room for a long period a time., The lights should fade off.",energy
543,"Command is given Change living room lights to soft white"", Voice command issued to change lighting color, SmartHouse LED bulbs adjust in color spectrum to the desired color",entertainment
544,"The smart lights are on. , The room is empty., After a period of time the lights should turn off.",energy
545,"I have configured the lights to dim and turn blue upon playing any video game., I turn on my Xbox in the living room to play a video game., The lights should dim down and turn a blue color.",entertainment
546,"It is night time and all the outdoor lights of the house are off., I am walking past my house to go inside., The outdoor lights should turn on when I get close to the house.",safety
547,"Person A walks down the hall to the kitchen at night triggering the proximity sensors attached to recessed lighting, Proximity sensors on the baseboards in hallways detect nearby motion , Proximity sensors will activate the lights as the person approaches each individual light and deactivate each light as the person leaves it's vicinity",safety
548,"The room is dark as no one has been in it for some time., I walk into a room., The lights should turn on.",energy
549,"The person is moving around in the room., A person just got up and walked into a room where there are smart lights., The lights should turn on.",energy
550,"The room is dark and I have configured the lights to turn on or off when I clap., I clap my hands in a room., The lights should turn on.",energy
551,"A jogger is running past the house., It is dark outside and nobody is home., Some lights should turn on.",safety
552,"They put in a movie., People are in a room., The lights should dim to a comfortable movie watching brightness.",entertainment
553,"the toddler is not walking but is crawling into the dark room, a baby crawls into a dark room, the lights turn on automatically",energy
554,"I am the only one in the room and there is no other movement or noise around me. The TV is off. The preset"" timer for the light is 20 minutes."", I lie very still on the couch for 20 minutes, as if I have fallen asleep, The lights should go out after 20 minutes.",energy
555,"The living room contains the smart lights. No one else is in it., I walk into the dark living room from the kitchen., The lights in the living room go on within 5 seconds once my whole body is in the room.",energy
556,"The front door has a smart light on it. It is otherwise completely dark around the house., I tell 3 of my friends to walk from the street up to the front door., The light should turn on when my friends reach within 3 feet of the front door.",safety
557,"It is a cloudy day outside but not completely dark. No one else is in the room with me., I sit in the room reading a book., The light should detect that I am reading and that no other screens are active in the room, and also that it is daytime but not bright and sunny out. So it turns the lights to medium-high so that I can see my book well.",energy
558,"It is night time outside. No one else is in the room with me., I sit in a room reading a book., The light should detect that I am reading a book, that no other screens or lights or active, and that it is dark, so it should turn the light on to Bright.",energy
559,"The preconfigured time to fade is 20 minutes, and I have only been asleep for 5. My husband's movements and screen usage tell the light that there is motion in the room., I fall asleep on the couch. My husband then walks in the room 5 minutes later and turns on the TV. I remain asleep., The light should not fade out. ",entertainment
561,"There is no movement or noise. , The family is away on vacation. , The lights should turn off. ",safety
562,"There is movement and noise. , I go down to get milk from the fridge. , The lights should stay on or switch on. ",health
563,"The living room, bathroom and hallway are dark. I do not enter the living room., I walk from the kitchen into the bathroom. I have to pass the living room on the way, which contains the smart lights., The living room smart lights should not activate because I am not in that room.",energy
564,"As I enter, I create noise and movement. , I come from a night out. , The lights should turn on. ",safety
565,"There is movement on the outside of the house. , A dog is moving outside of the house. , The outside lights should turn on. ",safety
566,"There is a TV running. , I start watching a movie on TV. , The lights should dim. ",entertainment
567,"There are smart lights on all 4 outside corners of the house. It is dark outside. There was no movement prior to their running and screaming., I have 3 of my friends run around the house one time screaming., Each smart light should turn on within 5 seconds of when my friends pass them.",safety
568,"I am not moving, and in bed. , I lie down to go to sleep. , The lights should dim until they finally turn off. ",health
569,"It is noon on a sunny day. There are smart lights on all 4 corners of the house., I have 3 friends run around the house one time screaming., The light should detect that it is daytime and should ignore the movement/noise. The light should not turn on.",health
570,"It is night and dark, I am moving. , I wake up to use the bathroom. , The lights should turn on in the rooms which I enter. ",energy
571,"It is night and dark, there is movement outside. , Someone is trying to open a window from outside. , The spot lights on that side of the house should turn on to scare away the intruder. ",safety
572,"There is no longer any movement or noise., I leave for work in the morning., The lights automatically fade off.",health
573,"We are not moving but we are talking in normal voices. The TV and radio are off and we are not looking at our phones., My husband and I sit on the couch talking for half an hour. , The light should detect our voices and should NOT turn off until we are silent.",entertainment
574,"The living room contains the smart lights. It is bright and sunny outside and the living room is illuminated by the sun., I walk into the living room from the kitchen., The lights should detect that the room is not dark, so the lights should not activate.",energy
575,"It's late evening, I don't move while sleeping, I fall asleep while reading on the bed, The lights fade and I sleep through the night.",health
576,"There is movement for a few minutes and then no movement for a while., I walk into the house and then walk out., The lights turn on and then turn off.",energy
577,"The bathroom light is left on as I forget to turn it off after preparing for work and rushing out the door., I'm late for work and have to run out the door, The light fades in the bathroom after no movement is detected for a period of time.",energy
578,"I am motionless, however the TV is bright and is showing movement on the screen as I watch it., I'm watching TV in the evening and relaxing on the couch, The lights should not fade as I'm in the room and the TV is being used, even though I'm mostly motionless.",entertainment
579,"It is dark outside and there is movement from the person knocking on the door., Someone knocks on the front door., The lights turn on outside, allowing the person to be seen.",safety
580,"It's the middle of the night, I can't see where I'm going clearly., I get up from bed to use the bathroom triggering nighttime motion detectors., The bathroom light turns on so I don't stumble in the dark bathroom.",safety
581,"It's dark because it was an evening movie, I need to get inside., I'm just arriving home from a movie and entering the house through my garage. When the door is opened, it triggeres a sensor that lights up the kitchen., As I step through the door from the garage to the kitchen, the lights come on so I can make my way through the house turning things on at night.",safety
582,"It's late at night, the lights are all off on the back patio., Someone is snooping around the back door of my home, Motion detection turns on the back light implying to the prowler that they've been seen, so they run away.",safety
583,"Conditions: 1.It is dark 2, Motion is within a set distance for home (distance set by owner during setup) 3. Motion is noted BOTH above and below a set height above ground level  (height set by owner during setup) to eliminate small animals and dogs, cats, and wind moving branches or bushes., Motion is detected outside the home., System turns on outside lights in the area movement is detected. Lights should remain on for some time after movement stops. ",safety
584,"These creatures like to dig up and eat plants from the area where I keep my garden., There are lots of small, hungry creatures that live in or around my backyard where I have lots of flowers planted., The nighttime motion detection triggers lights that scare off the squirrels or rabbits as they get close to the vegetation near my backyard garden.",safety
585,"It is dark outside. The light is set to optimize for whichever activity requires the most light. So if other activities are taking place that require dim light but one activity requires Bright, it defaults to Bright., I sit in the room and watch TV. My husband is next to me reading a book. Our son is on the floor playing Legos., The light should optimize for activities that require the most lighting. Thus, it should detect that someone in the room is reading or trying to see toys, and also that it is dark outside. So the light should turn on to Bright.",energy
586,"The TV is preparing to play me theatrical content and I'm watching from the nearby couch., The TV is turned on and/or the Netflix application on my Smart TV is launched., The lights are dimmed like a movie theater to allow just enough light for me to see my surroundings while not detracting form the image on the screen during the movie.",entertainment
587,"I'm preparing to cook and I can use light focused down from the higher microwave to illuminate the stove where I'm cooking to better see what I'm doing., The stove or oven burners or lighters are turned on from the off position., The light over the stove slowly turns on and illuminates the area where I'll be cooking and preparing food, which I've indicated by turning on the stove or burners.",health
588,"At this hour, I'm likely to be asleep soon.  The light hue should change to accommodate a cool down period for my eyes before I actually close them to go to sleep., I'm in the bedroom and it's late in the evening, motion detectors notice that I'm heading toward or sitting on or lying on the bed., Lights are dimmed and switched to a low, warm red hue that is easier on the eyes and less straining before I lie down to go to sleep.  These few minutes on this light color will allow me to relax and better attain deep sleep when I'm ready.",health
589,"It's not often that I'm in the attic, I don't know my way around nor do I know where most things are located.  I need to be able to see the entire attic as I'm first entering., I enter the attic through the collapsible door to retrieve some things from storage., Motion sensors in the attic detect movement, which is unusual for the attic, and illuminate the room so I can see where I'm going and get to the storage items I need.",safety
590,"No one was inside a room for last few minutes, There is no one there in my son's bedroom for last few minutes, The lights should be turned off.",health
591,"The room lights are in switched off mode and a person entered the room, My little daughter entered a dark room in our home, The lights should be turned on immediately",energy
592,"Conditions: 1. no motion above height set by owner during setup and no sound for a period of time set by owner during setup. 2. motion  below height set by owner during setup with or without sound to account for pets. 3. time set by owner passes without condition 1. occurring. Condition 2 requires no action., No motion or sound in room for some period of time., Room .light should fade to off if condition met.",entertainment
593,"Someone is outside the home at night, Someone from our neighborhood is walking towards our home, Some of the outside lights should be turned on",safety
594,"The activity is specified and brightness should be adjusted, My little daughter is watching her favorite cartoon show on the TV, Dim the light to a minimum level to enhance the TV watching ",entertainment
595,"There is no movement or noise inside the room, My spouse is sleeping in our bedroom, The lights should be turned off",safety
596,"Someone entered the room and it's a dark room, I walked back after entering my dark room partially for a second to take something I need from outside, The light should be turned on ",energy
597,"There is movement outside and it's day time, I went outside the home for feeding my dog and it was not dark outside, Lights should not be turned on.",safety
598,"An activity that required very bright lighting and it;s night time, My son is son is doing his homework and the brightness is the best for this situation, The brightness should be increased to a suitable level.",safety
599,"The light creates movement in my room"", No one or nothing is in my room, a light source shines into my room, My lights start to turn off",energy
600,"The lights were turned off, it is dark, I walk into my room, The lights turn on automatically",energy
601,"There is movement outside my house, it is dark outside, A cat wanders in front of my house, Lights turn on",safety
602,"A specific room has has no movement in it. , I am watching TV and stay still for a long time. , Lights fade off in this room. ",health
603,"It is night time, I am playing video games in my room, I choose the preconfigured setting to a gaming mode so my eyes don't get strained ",entertainment
604,"Specific room has lights off and censor to detect movement. , Person walks into room. , Lights turn on. ",safety
605,"It's dark outside., Movement outside. , Outdoor lights are turned on. ",safety
606,"I am in the dining room and there is a preset for eating. , I sit down to eat. , Lights turn to bright day light. ",energy
607,"It is dark outside and I come home from work. I walk into the yard., I come home from work late at night., When I walk into the yard my motion is detected and the lights turn on. ",energy
608,"It is dark outside. The porch has 2 smart lights on it. The lights are pre-set to turn off after 5 minutes of inactivity., I sit outside on the porch, not talking but just reading Facebook on my phone., The lights should activate when I first come outside and sit down. After I sit for 5 minutes, the lights should turn off.",energy
609,"It is noon and the sun is shining into the house such that no reading light would be required. , I am sitting on the couch reading Facebook on my phone but I am not making noise or moving., The light should detect both that I am looking at a screen and that it is daylight, so it should not activate.",energy
610,"There is movement and activity in the kitchen., I am cooking in the kitchen., The lights should brighten and take on a natural light color.",health
611,"There is movement inside the house. The house is dark, I can't see well, and I could bump into things, I come home from a late night out., The lights should turn on.",safety
612,"When i walk into a room the light senors detect my movement and automatically turns on the lights., Automatic lights system., When i leave  a room the light sensors do not detect any movement, so hey turn off.",energy
613,"When i sit on a toilet the sensor recognizes me and tracks my movement., Automatic toilets , When i sit up fro the toilet it automatically flush after 20 seconds.",health
614,"My dog has an authorized collar., My dog enters and exits the room due to playing., The room lights turn on to a certain brightness and certain cameras turn on.",safety
615,"The sensor detects that no one is in the room., Another light seems to turn on in the room., The lights turn on to a certain brightness.",energy
616,"The animal is not wearing an authorized collar, An animal is prowling around the perimeter; the animal sometimes comes in and out of the perimeter of the house, The lights turn on and stay on for a certain amount of time; there may be an alert that goes on inside the house warning something is outside",safety
617,"The lights in my room recognize I have stop moving., I fall asleep while reading, The light slowly fades off in the house based on a default dim setting I've chosen for each room.",entertainment
618,"The smart home lights is configured to increase in brightness, with increase movement., I wake up to start my day., The smart home lights fades on a low dim, and increases to full brightness after I'm fully awake, and moving into the main house.",energy
619,"The items do not have any authorization, There are other lights in the room that are flickering on and off due to a project, The lights dim and stay dim to a certain brightness",energy
620,"I can't find my child and am frantic.It is nighttime, I walk from room A into Room B, I'm walking around room A looking for my child. Night has fallen and it is dark., The lights should be on in room B if my child walked into the room, giving me a clue to where the child is and added safety for the child and me. I find the child.",safety
621,"The lights blink three times, then stays on., I see my lights flash on outside., This alert notifies me that an intruder bigger than a rodent is outside.",safety
622,"When my house get to cold the system detects it and turns on the heat., Temperature monitor., When my house gets to hot the system detects it and turns on the AC..",energy
623,"It is (NT) and everyone decides to go to bed. we leave room A , I am spending time in room A with my family, enjoying a lit Christmas tree., Room A lights, including the Christmas tree, shut off.",energy
624,"Ste the temperature to my desired degree on my water heater., Manually set temperature on water heater, Having my water steadily heated at my desired temperature alleviates the risk of being scolded by hot water from the sink or shower.",energy
625,"It is my first time in my house in more than a few hours., I walk into a dark room after work., The lights switchs on to full brightness in each room that I enter. ",energy
626,"It is daytime but the drapes are drawn not letting a lot of light in, The person is sick and lying in bed, The Smart lights are programmed to know when it is daytime, but when the drapes are drawn the lights stay off. The lights remain off.",energy
627,"the movement is detected, but it is a family member who entered a pin on their smartphone letting the sensor know they are an occupant., there is movement outside of the home, the overhead light turns on but not the other spotlights.",safety
628,"No movement detection from large object over 50 pounds., I go to bed for the night., The lights dim and turn off.",health
629,"No motion detected in house and motion detected indicating leaving home. , I leave the house., Lights dim and turn off.",safety
630,"Motion detected heading to dark room or in dark room. , I start walking to a room that is currently dark., Lights in room turn on.",energy
631,"Motion detected from objects outside., Motion outside from objects larger then a small cat., Turn on outdoor lights.",safety
636,"Detect TV playing from sound and direct input., I am watching TV., Dim lights in room.",entertainment
637,"Detect movie through sound and smart TV connects., I am watching a movie., Enable Phillips hue (or similar products) and dim the light.  ",entertainment
638,"My movement gets detected., I walk near my porch at night., Outside lights turn on.",safety
639,"Smart home high rate of activity., I start exercising in the living room., Brightness of lights increases so I can see what I'm doing better.",entertainment
640,"Smart home detects no movement., I lay down in bed., Lights fade and then turn off.",health
641,"Smart home detects I'm reading and turning pages in book., I'm laying on the couch reading., Smart home doesn't dim lights.",energy
642,"Smart home detects that I want to relax., I start listening to relaxing music., Lights become dim and change colors to create a relaxing experience.",entertainment
643,"My smart home authorizes no one in that room , I get out of the room.There is no movement or noise in a room., Lights fade off in that room",health
644,"My friend's movement was authorized., My friend enters into a dark room, lights should turn on  in that room",energy
645,"The stranger's movement outside home was authorized, A stranger walk across my home., The light should turn on outside home",safety
646,"my friend's activity in that room is authorized, Once my friend entered into the room,he fall asleep., Light is become dim.",entertainment
647,"It is late at night, and the dog isn't authorized., A stray dog enter my property, trigger the smart home system., The smart home turn on some light to scare off the dog.",safety
648,"I am authorized by the system. The action is less than five seconds., The room is dark. I enter the room, grab something I needed and then leave the room immediately., The smart home should turn on the light for me and then turn it off after I leave.",energy
649,"My friend is not authorized by the smart home system. It's late at night., My friend decides to give me a surprise visit late at night. He enters my property without me knowing., Light closest to my friend's location, as well as the ones around my location should turn on to notify me of someone's presence.",safety
650,"Five people is in the room, in their seats and a movie mode has been pre-set in the smart home system. , Everyone is in their seat and I turn on a movie in the living room., The light in the room should dim to the pre-set level.",entertainment
651,"No one is at home so there is no movement in the house., There is no one in the house, but the alarm clock goes off and beeps for hours., The light should dim despite the alarm clock keeps beeping.",health
652,"My friend isn't authorized. , My friend enters a dark room in my house., The smart home should not response to my friend's movement.",safety
653,"The motion detectors so not detect any movement and determine no one is in the room, Someone is reading in bed, being quite still , The lights dim, despite someone being in the room",safety
654,"The slow movement is recognized as different than faster dancing, People are slow dancing, and this type of motion is noticed by home, The lights dim or go to a preset unique level",safety
655,"System set to not come on automatically for authorized users, Homeowner walks across lawn at night, it is getting pretty dark, System does not turn off lights, even though motion detected",energy
656,"No human is in the house but a cat. The cat is not authorized by the system, Everyone in the family get out of the house, leaving the pet alone indoor., The smart home should fade the light after a while.",health
657,"There is nobody in the room to authorize., An airplane flies low overhead or a loud car drives by the house., The lights should remain dim despite there being a noisy presence in the area.",safety
658,"The person is authorized., A person enters and exits the room numerous times over a very short duration., The lights should turn on stay on for the duration that the person enters and exits the room without turning off too quickly.",safety
659,"The guard dog is authorized., The guard dog moves to a different position in front of the house., The smart home should not turn on lights since the guard dog is authorized.",entertainment
660,"The user's activity is authorized., An authorized user is sitting down and playing video games on the video game console., The system gradually dims the lights in the living room to the minimum level.",entertainment
661,"The user is authorized., The user gets up off of the couch or a chair while watching TV or playing video games., The system should brighten the lights just enough for the user to see around them.",entertainment
